Family,Type,Material:Name,Material:Description,Total Material:Area,Total Material:Volume
Basic Wall,W-Skirting (100mm),Tile,Flooring finished with 12mm thick ceramic tiles,217.531333333333,2.6103760000000755
Floor,Tile (1200mm x 600mm),Tile,Flooring finished with 12mm thick ceramic tiles,4472.479022774038,53.66974827328957
