ExpressId,GlobalId,Family,Type,Base Constraint,Length,Width,Material:Name,Material:Description,Material:Area,Material:Volume
160310,2KDY8k2e98y8zvgV3Sje53,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000035,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.56180000000017,0.5347416000000734
160387,2KDY8k2e98y8zvgV3Sje52,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,13481.333333333385,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",50.98446666666691,0.6118136000000849
160523,2KDY8k2e98y8zvgV3Sje5z,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000035,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.503600000000155,0.5340432000000169
160604,2KDY8k2e98y8zvgV3Sje5w,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,13481.333333333365,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",53.20266666666687,0.6384319999999725
161120,2KDY8k2e98y8zvgV3Sje5r,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000035,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.56180000000017,0.5347416000000412
161197,2KDY8k2e98y8zvgV3Sje5q,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,13481.333333333369,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",50.984466666666826,0.6118136000000838
161333,2KDY8k2e98y8zvgV3Sje5t,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000031,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.50360000000014,0.5340432000000169
161414,2KDY8k2e98y8zvgV3Sje5i,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,13481.333333333405,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",53.202666666667064,0.6384319999999747
161930,2KDY8k2e98y8zvgV3Sje5l,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000031,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.561800000000154,0.534741600000033
162007,2KDY8k2e98y8zvgV3Sje5k,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,13481.333333333405,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",50.984466666667004,0.6118136000000857
162143,2KDY8k2e98y8zvgV3Sje5f,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9188.000000000031,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.50360000000014,0.5340432000000731
162216,2KDY8k2e98y8zvgV3Sje5d,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,10414.666666666664,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",44.80933333333336,0.5377119999999749
162654,2KDY8k2e98y8zvgV3Sje5c,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,12484.666666666832,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",60.55063333333413,0.7266076000001067
162712,2KDY8k2e98y8zvgV3Sje5X,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,10414.666666666668,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",50.51113333333331,0.60613360000009
162793,2KDY8k2e98y8zvgV3Sje5W,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,12484.666666666832,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",50.77243333333414,0.6092692000000911
163021,2KDY8k2e98y8zvgV3Sje6U,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333265,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",26.86666666666636,0.3224000000000394
163136,2KDY8k2e98y8zvgV3Sje6P,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9187.999999999929,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",38.081799999999646,0.4569815999999989
163272,2KDY8k2e98y8zvgV3Sje6O,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333265,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.688466666666333,0.35626160000004353
163349,2KDY8k2e98y8zvgV3Sje6R,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9187.999999999929,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",38.02359999999964,0.4562832000000155
163537,2KDY8k2e98y8zvgV3Sje6L,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6044.666666666676,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",26.494833333333375,0.3179380000000144
163649,2KDY8k2e98y8zvgV3Sje6K,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,3054.666666666165,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.93513333333092,0.14322159999999015
163768,2KDY8k2e98y8zvgV3Sje6N,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6044.666666666679,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",21.418233333333394,0.25701880000001176
163958,2KDY8k2e98y8zvgV3Sje6M,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,3054.666666666164,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.876933333330907,0.1425231999999642
164106,2KDY8k2e98y8zvgV3Sje6G,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6044.666666666676,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",26.494833333333364,0.31793800000001426
164214,2KDY8k2e98y8zvgV3Sje6J,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2824.6666666671013,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",13.699633333335438,0.16439560000001757
164368,2KDY8k2e98y8zvgV3Sje6I,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6044.666666666676,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",25.018233333333377,0.3002187999999999
164515,2KDY8k2e98y8zvgV3Sje6D,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2824.666666667101,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",13.641433333335435,0.16369720000004712
164630,2KDY8k2e98y8zvgV3Sje6F,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9187.999999999993,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",38.13999999999997,0.45768000000001957
