ExpressId,GlobalId,Family,Type,Level,Material:Name,Material:Description,Volume,Material:Volume
51413,1naJBYN8vFgexRUQE942PH,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999999,0.6416999999999999
51475,1naJBYN8vFgexRUQE942PD,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51537,1naJBYN8vFgexRUQE942Uv,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51599,1naJBYN8vFgexRUQE942Ur,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51661,1naJBYN8vFgexRUQE942UX,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51723,1naJBYN8vFgexRUQE942UR,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51785,1naJBYN8vFgexRUQE942UL,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
51847,1naJBYN8vFgexRUQE942U1,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
51909,1naJBYN8vFgexRUQE942Vp,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000003,0.6417000000000003
51971,1naJBYN8vFgexRUQE942VO,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52033,1naJBYN8vFgexRUQE942VP,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52095,1naJBYN8vFgexRUQE942VQ,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
52157,1naJBYN8vFgexRUQE942VK,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52219,1naJBYN8vFgexRUQE942VL,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52281,1naJBYN8vFgexRUQE942VM,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
52343,1naJBYN8vFgexRUQE942V2,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52405,1naJBYN8vFgexRUQE942V3,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52467,1naJBYN8vFgexRUQE942V4,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000003,0.6417000000000003
52529,1naJBYN8vFgexRUQE942Sr,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
52591,1naJBYN8vFgexRUQE942SX,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52653,1naJBYN8vFgexRUQE942SV,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52715,1naJBYN8vFgexRUQE942S4,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
52777,1naJBYN8vFgexRUQE942Tz,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
52839,1naJBYN8vFgexRUQE942Ts,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999986,0.6416999999999986
52901,1naJBYN8vFgexRUQE942Tf,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999984,0.6416999999999984
52963,1naJBYN8vFgexRUQE942Ti,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53025,1naJBYN8vFgexRUQE942Tl,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53087,1naJBYN8vFgexRUQE942TY,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999984,0.6416999999999984
53149,1naJBYN8vFgexRUQE942Tb,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999986,0.6416999999999986
53211,1naJBYN8vFgexRUQE942TO,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999984,0.6416999999999984
53273,1naJBYN8vFgexRUQE942TR,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53335,1naJBYN8vFgexRUQE942TU,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53397,1naJBYN8vFgexRUQE942TH,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53459,1naJBYN8vFgexRUQE942TK,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53521,1naJBYN8vFgexRUQE942TN,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53583,1naJBYN8vFgexRUQE942TA,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000006,0.6417000000000006
53645,1naJBYN8vFgexRUQE942TD,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
53707,1naJBYN8vFgexRUQE942T0,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
