Family,Occurrence Count,Total NetVolume,Total GrossVolume,Total Volume,Total Material:Volume
Basic Wall,27,81.02964399999674,75.07663066666478,115.53123866665997,81.02964399999674
Floor,5,1555.5127444444447,1795.230857777778,1555.5127444444447,1555.5127444444447
RCC RECTANGULAR BEAM,265,418.285754061286,205.33361779672805,418.285754061286,418.285754061286
RCC RECTANGULAR COLUMN,661,233.73750000000422,233.73750000000237,278.93250000000273,233.73750000000422
