ExpressId,GlobalId,IfcClass,Family,Type,Level,Material:Name,Material:Description,Material:Area,Material:Volume
209807,3ndJx5uTH1Kw82iITrjv96,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.247266666666683,0.014967200000002196
209865,3ndJx5uTH1Kw82iITrjv92,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.802666666666661,0.009631999999999481
209923,3ndJx5uTH1Kw82iITrjv9U,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.247266666666683,0.014967200000002196
209981,3ndJx5uTH1Kw82iITrjv9Q,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.0390666666666621,0.012468800000001614
210039,3ndJx5uTH1Kw82iITrjum1,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.33879999999999877,0.004065600000000162
210097,3ndJx5uTH1Kw82iITrjumT,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4448999999999959,0.005338800000000663
210155,3ndJx5uTH1Kw82iITrjumP,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.45759999999999934,0.005491199999999982
210213,3ndJx5uTH1Kw82iITrjumL,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.32849999999999563,0.003942000000000474
210271,3ndJx5uTH1Kw82iITrjumH,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.14419999999999872,0.0017304000000002162
210329,3ndJx5uTH1Kw82iITrjumi,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.3272999999999955,0.00392760000000047
210387,3ndJx5uTH1Kw82iITrjumb,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.4959999999999999,0.005952000000000256
210445,3ndJx5uTH1Kw82iITrjumX,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.447299999999996,0.005367599999999539
210503,3ndJx5uTH1Kw82iITrjumz,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7335999999999998,0.008803199999999983
210561,3ndJx5uTH1Kw82iITrjupK,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.3042666666666664,0.0036512000000001547
210619,3ndJx5uTH1Kw82iITrjupG,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.36439999999999717,0.00437279999999976
210677,3ndJx5uTH1Kw82iITrjupi,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.36439999999999706,0.004372799999999759
210735,3ndJx5uTH1Kw82iITrjupe,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.21426666666666586,0.0025712000000001015
210793,3ndJx5uTH1Kw82iITrjupa,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.2154666666666658,0.0025855999999999844
210851,3ndJx5uTH1Kw82iITrjupW,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.21873333333333486,0.0026247999999998947
210909,3ndJx5uTH1Kw82iITrjupy,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.30306666666666626,0.003636799999999988
210967,3ndJx5uTH1Kw82iITrjupu,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.2187333333333347,0.002624799999999893
211025,3ndJx5uTH1Kw82iITrjupq,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7359999999999998,0.008831999999999982
211083,3ndJx5uTH1Kw82iITrjupm,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.06213333333333576,0.000745599999999994
211141,3ndJx5uTH1Kw82iITrjuoC,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.0621333333333351,0.0007456000000001207
211199,3ndJx5uTH1Kw82iITrjuyW,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7347999999999998,0.008817599999999983
211257,3ndJx5uTH1Kw82iITrjuyw,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.612133333333332,0.007345599999999638
211315,3ndJx5uTH1Kw82iITrjuys,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7988000000000007,0.009585600000000423
211373,3ndJx5uTH1Kw82iITrjuyo,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6097333333333328,0.007316800000000309
211431,3ndJx5uTH1Kw82iITrju$E,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9164000000000008,0.01099679999999999
211489,3ndJx5uTH1Kw82iITrju$8,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6109333333333337,0.00733119999999999
211547,3ndJx5uTH1Kw82iITrju$4,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.03146666666666692,0.0003776000000000195
211605,3ndJx5uTH1Kw82iITrju$0,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.09200000000000011,0.0011039999999999993
211663,3ndJx5uTH1Kw82iITrju$S,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.18400000000000014,0.002208000000000097
211721,3ndJx5uTH1Kw82iITrju$O,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.30426666666666774,0.003651199999999842
211779,3ndJx5uTH1Kw82iITrju$K,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.5177333333333334,0.006212799999999989
211837,3ndJx5uTH1Kw82iITrju$G,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6109333333333319,0.007331199999999917
211895,3ndJx5uTH1Kw82iITrju$i,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.09199999999999849,0.0011039999999999796
211953,3ndJx5uTH1Kw82iITrju$e,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.15740000000000012,0.0018888000000000832
212011,3ndJx5uTH1Kw82iITrju$a,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.09080000000000016,0.0010896
212069,3ndJx5uTH1Kw82iITrju$x,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9176000000000001,0.01101120000000048
212127,3ndJx5uTH1Kw82iITrju$t,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6097333333333317,0.0073167999999996375
